speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Abigail McEwen,McEwen,Abigail,,Assistant Professor of Latin American Art,"Department of Art History and Archeology, University of Maryland",,,"

",,
Adeline Koh,Koh,Adeline,,Assistant Professor,"Department of Literature, Richard Stockton College",,,"

",,adelinekoh
Aditi Muralidharan,Muralidharan,Aditi,,doctoral candidate,"University of California, Berkeley",,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Aditi Muralidharan} is a Ph.D. candidate within the Department of Computer Science at the University of California, Berkeley. She builds and researches systems for large-scale text analysis. This April, her work on the WordSeer project won the support of a 2011 NEH Startup Grant.\par}

",,silverasm
Alberto Campagnolo,Campagnolo,Alberto,,"CLIR Postdoctoral Fellow in Data Curation for Medieval Studies, Preservation Research and Testing Division",Library of Congress,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Alberto Campagnolo trained as a book conservator (in Spoleto, Italy) and has worked in that capacity in various institutions, including the London Metropolitan Archives, St. Catherine\u8217's Monastery (Egypt), and the Vatican Library.He studied Conservation of Library Materials at Ca\u8217' Foscari University Venice, and holds an MA in Digital Culture and Technology from King\u8217's College London. He pursued a{\field{\*\fldinst{HYPERLINK ""ualresearchonline.arts.ac.uk/8749/""}}{\fldrslt{\ul
\u160?PhD on an automated visualization of historical bookbinding structures
}}}
\u160?at the\u160?{\field{\*\fldinst{HYPERLINK ""http/www.ligatus.org.uk/""}}{\fldrslt{\ul
Ligatus Research Centre
}}}
\u160?({\field{\*\fldinst{HYPERLINK ""www.arts.ac.uk/chelsea/research/""}}{\fldrslt{\ul
University of the Arts, London
}}}
).In July 2016, he has been appointed as{\field{\*\fldinst{HYPERLINK ""www.clir.org""}}{\fldrslt{\ul
\u160?CLIR
}}}
/{\field{\*\fldinst{HYPERLINK ""www.clir.orgdlf""}}{\fldrslt{\ul
DLF
}}}
{\field{\*\fldinst{HYPERLINK ""www.clir.orgfellowships/postdoc/applicants/library-of-congress-preservation-research-and-testing-division-prtd""}}{\fldrslt{\ul
\u160?Postdoctoral Fellow in Data Curation for Medieval Studies at the Library of Congress
}}}
\u160?(Washington, DC).Alberto has served on the {\field{\*\fldinst{HYPERLINK ""https://digitalmedievalist.wordpress.com/""}}{\fldrslt{\ul
Digital Medievalist
}}}
 board since 2014, first as Deputy Director, and as Director since 2015.\par}

",linkedin.com/in/acampagnolo,acampagnolo
Aleia Brown,Brown,Aleia,,Program Manager and Mellon/American Council of Learned Society Public Fellow,Humanities ActionLab,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Aleia M. Brown is the Program Manager for Humanities Action Lab's next project and recipient of the 2017 Mellon/American Council of Learned Societies Public Fellowship. Prior to this, she was Visiting Curator of African and African American History & Culture at Michigan State University, building on her research focus from her tenure as a curator at the National Afro-American Museum and Cultural Center in Wilberforce, Ohio._x000D__x000D_ _x000D__x000D_ Brown holds a Ph.D. in Public History form Middle Tennessee State University, a M.A. in Public History from Northern Kentucky University, and a B.S. in History from the Honors College at Coppin State University, where she was also a Ronald E. McNair Postbaccalaureate Scholar.\u160?Her research and public history practice makes interventions in the following fields: African American history, civil and human rights, women's history, material culture, museum studies, sites of political memory, and digital humanities._x000D__x000D_ _x000D__x000D_ Brown has curated exhibitions and public programs utilizing material culture as an entry point to understanding current issues with deep histories. Her most comprehensive project (as Visiting Curator of African and American History at Michigan State University Museum) is the co-curated travelling exhibition Ubuntutu: Life Legacies of Love and Action that opened at the Nelson Mandela Gateway to Robben Island in October 2016. Her co-edited exhibition catalog by the same name explores textile artists' relationship with the legacy of Desmond Tutu in the wake of key anniversaries pertaining to civil rights legislation and South African apartheid._x000D__x000D_ _x000D__x000D_ Brown is the co-founder and organizer of two acclaimed digital humanities projects. Started in 2014, #MuseumsRespondtoFerguson is both a public forum and curatorial collective. The project pushes museums to gain competencies to utilize exhibitions and collections to address state sanctioned violence. #BlkTwitterstorians is a Twitter chat designed to promote the work of Black historians. The second component involves archiving #BlkTwitterstorians related tweets, enabling researchers to trace shifts in the field wide debates through tweets.\u160?Aleia M. Brown's scholarship has appeared, or is forthcoming in, The Black Scholar, CODE | WORDS: Technology and Theory in Museums, TIMELINE Magazine. Her popular writing has appeared in Black Perspectives, History@Work, MuseumNext, Slate, and Southern Rambles.\par}

",,CollardStudies
Alex Gil,Gil,Alex,,"Digital Scholarship Coordinator, Humanities and History Division",Columbia University Libraries,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Dr. Alex Gil is Digital Scholarship Librarian at Columbia University Libraries and Affiliate Faculty of the Department of English and Comparative Literature at Columbia University. He collaborates with faculty, students and library professionals leveraging computational and network technologies in humanities research, pedagogy and knowledge production. He is among the founders of several ongoing, warmly received initiatives where he currently plays leadership roles: Co-director of the Studio@Butler at Columbia University, a tech-light library innovation space focused on digital scholarship and pedagogy; faculty moderator of Columbia\u8217's Group for Experimental Methods in the Humanities, a vibrant trans-disciplinary research cluster focused on experimental humanities; former chair of Global Outlook::Digital Humanities, an interest group connecting scholars around the world; senior editor of sx archipelagos, a journal of Caribbean Digital Studies, and co-wrangler of The Caribbean Digital conference series. Current projects include Ed, a digital platform for minimal editions of literary texts; Aim\u233? C\u233?saire and The Broken Record, a minimal computing experiment in long-form digital scholarship; and, In The Same Boats, a visualization of trans-Atlantic intersections of black intellectuals in the 20th century.\par}

",,elotroalex
Alex Wright,Wright,Alex,,"Author, Designer and Researcher","Etsy, The New York Times, and IBM",,,"{\pard \ql \f0 \sa0 \li0 \fi0 Alex Wright is the Director of Research at Etsy and the former Director of User Experience and Product Research at The New York Times. He is also a professor of interaction design at The School of Visual Arts and the author of Cataloging the World: Paul Otlet and the Birth of the Information Age (Oxford University Press, 2014). He has previously led interaction design and research projects for IBM, Yahoo!, The Long Now Foundation and the California Digital Library, among others. His writing has appeared in The New York Times, The Atlantic, Wilson Quarterly, The Believer, and Harvard Magazine, among others.\par}

",alexwright.org,alexgrantwright
Alexandrina Agloro,Agloro,Alexandrina,,Assistant Professor of Interactive Media and Game Development,Worcester Polytechnic Institute,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Alexandrina is a game designer, community-based researcher, and media artist who believes in the possibilities of the decolonial imaginary using digital media as an emancipatory tool._x000D__x000D_ _x000D__x000D_ She is an Assistant Professor of Interactive Media and Game Development at Worcester Polytechnic Institute. Her most recent game,\u160?{\i The Resisters}, was an alternate reality game she designed through participatory research with young people of color about local social movement history in Providence, RI. Before joining WPI, she earned her Ph.D. from the Annenberg School for Communication and Journalism at the University of Southern California and an M.A. from the\u160?{\field{\*\fldinst{HYPERLINK ""ethnicstudies.sfsu.edu/""}}{\fldrslt{\ul
College of Ethnic Studies
}}}
\u160?at San Francisco State University\u8212-the only autonomous institution of its kind in the United States\u8212-where she researched adolescent girls of color and their race and gender identity development through online doll play. Alexandrina blends her knowledge of the digital with an aesthetic sense of tactile design; some of her past work includes designing a collection of dresses made entirely from recycled goods as a benefit for a cancer wellness nonprofit._x000D__x000D_ _x000D__x000D_ Alexandrina utilizes principles of self-determination and relevant education in her teaching and research. She teaches at university and high school levels, and specializes in digital media skill building with young people of color.\u160?She is a co-chair of Situated Critical Race + Media (SCR+M!) of\u160?{\field{\*\fldinst{HYPERLINK ""femtechnet.org""}}{\fldrslt{\ul
FemTechNet
}}}
, a multi-university collaborative feminist technology organization. She is the Futurist for the Latinx Pacific Archive and is working on developing a line of ovulation-tracking jewelry that is both affordable and flawlessly stylish. As a community-based researcher and participatory designer, her speculative work is still anchored in lived experience.\u160?She works closely with{\field{\*\fldinst{HYPERLINK ""newurbanarts.org""}}{\fldrslt{\ul
\u160?New Urban Arts
}}}
, a youth art studio and imagination incubator. Alexandrina uses critical pedagogy and community-based research as platforms to work with institutions, community organizations, researchers, and artists. Her research has received funding from the National Science Foundation,\u160?the National Endowment for the Humanities, the Andrew W. Mellon Foundation-John E. Sawyer Seminars, the Teagle Foundation, the Rhode Island Council of the Humanities,\u160?and the Voqal Fund.\par}

",agloro.org,a_game
Alexis Lothian,Lothian,Alexis,,Assistant Professor of Women’s Studies,University of Maryland College Park,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Alexis Lothian is a interdisciplinary scholar of queer and feminist media and cultural studies with a focus on speculative fiction, digital media, and online fandom. She lives in the Washington, DC area and is\u160?a tenure track Assistant Professor of\u160?{\field{\*\fldinst{HYPERLINK ""wmst.umd.edu/""}}{\fldrslt{\ul
Women\u8217's Studies\u160?
}}}
at University of Maryland College Park, where she teaches in the\u160?{\field{\*\fldinst{HYPERLINK ""lgbts.umd.edu/""}}{\fldrslt{\ul
LGBT Studies
}}}
\u160?program and the undergraduate honors program in\u160?{\field{\*\fldinst{HYPERLINK ""dcc.umd.edu/""}}{\fldrslt{\ul
Design | Culture and Creativity.
}}}
_x000D_ _x000D_ Lothian is presently developing a book manuscript based on her PhD dissertation, \u8220""Deviant Futures: Speculative Fiction and Queer Time,\u8221"" while also working on what will become a second monograph on critical and social justice-oriented fan cultures and participating in collaborative work as part of the TransformDH collective. Read more on her\u160?{\field{\*\fldinst{HYPERLINK ""www.queergeektheory.orgwordpress/dissertatio/""}}{\fldrslt{\ul
research page
}}}
._x000D_ _x000D_ Lothian is also a participant in feminist science fiction and media fandom, with a specific interest in the ways fan communities engage in critical theorizing and activism (for example, through\u160?{\field{\*\fldinst{HYPERLINK ""journal.transformativeworks.orgindex.php/twc/article/view/172/119""}}{\fldrslt{\ul
online discussion
}}}
\u160?and\u160?{\field{\*\fldinst{HYPERLINK ""lstein.wordpress.com/2010/06/03/participatory-cultures-and-vidding-a-virtual-rendition-of-our-digital-media-and-learning-2010-workshop-2/""}}{\fldrslt{\ul
fan video
}}}
). She uses some of these forms in\u160?{\field{\*\fldinst{HYPERLINK ""queergeektheory.orgvidding""}}{\fldrslt{\ul
her own scholarly work
}}}
, in addition to standard academic practices.\par}

",queergeektheory.org,alothian
Alison Booth,Booth,Alison,,Professor of English,University of Virginia,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Alison Booth is Professor of English at University of Virginia, specializing in narrative, feminist studies in nineteenth-century literature, and digital humanities.\u160? Her books include {\i Greatness Engendered: George Eliot and Virginia Woolf} (1992); {\i How to Make It as a Woman: Collective Biographical History from Victoria to the Present}; a Longman Cultural Edition of Wuthering Heights, and an edited collection on gender and narrative closure, {\i Famous Last Words}.\u160? She is completing a book on transatlantic literary tourism, house museums, and reception of authors.\u160? A Fellow of ACLS (Digital Innovation) and the Institute for Advanced Technology in the Humanities, she directs the Collective Biographies of Women project.\par}

",engl.virginia.edu/people/ab6j,alison_booth
