speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Abigail McEwen,McEwen,Abigail,,Assistant Professor of Latin American Art,"Department of Art History and Archeology, University of Maryland",,,,,
Adeline Koh,Koh,Adeline,,Assistant Professor,"Department of Literature, Richard Stockton College",,,,,adelinekoh
Aditi Muralidharan,Muralidharan,Aditi,,doctoral candidate,"University of California, Berkeley",,,"<strong>Aditi Muralidharan</strong> is a Ph.D. candidate within the Department of Computer Science at the University of California, Berkeley. She builds and researches systems for large-scale text analysis. This April, her work on the WordSeer project won the support of a 2011 NEH Startup Grant.",,silverasm
Alberto Campagnolo,Campagnolo,Alberto,,"CLIR Postdoctoral Fellow in Data Curation for Medieval Studies, Preservation Research and Testing Division",Library of Congress,,,"<span style=""font-weight: 400"">Alberto Campagnolo trained as a book conservator (in Spoleto, Italy) and has worked in that capacity in various institutions, including the London Metropolitan Archives, St. Catherine’s Monastery (Egypt), and the Vatican Library.</span><span style=""font-weight: 400"">He studied Conservation of Library Materials at Ca’ Foscari University Venice, and holds an MA in Digital Culture and Technology from King’s College London. He pursued a</span><a href=""ualresearchonline.arts.ac.uk/8749/""><span style=""font-weight: 400""> </span><span style=""font-weight: 400"">PhD on an automated visualization of historical bookbinding structures</span></a><span style=""font-weight: 400""> at the </span><a href=""http/www.ligatus.org.uk/""><span style=""font-weight: 400"">Ligatus Research Centre</span></a><span style=""font-weight: 400""> (</span><a href=""www.arts.ac.uk/chelsea/research/""><span style=""font-weight: 400"">University of the Arts, London</span></a><span style=""font-weight: 400"">).</span><span style=""font-weight: 400"">In July 2016, he has been appointed as</span><a href=""www.clir.org""><span style=""font-weight: 400""> </span><span style=""font-weight: 400"">CLIR</span></a><span style=""font-weight: 400"">/</span><a href=""www.clir.orgdlf""><span style=""font-weight: 400"">DLF</span></a><a href=""www.clir.orgfellowships/postdoc/applicants/library-of-congress-preservation-research-and-testing-division-prtd""><span style=""font-weight: 400""> </span><span style=""font-weight: 400"">Postdoctoral Fellow in Data Curation for Medieval Studies at the Library of Congress</span></a><span style=""font-weight: 400""> (Washington, DC).</span><span style=""font-weight: 400"">Alberto has served on the </span><a href=""https://digitalmedievalist.wordpress.com/""><span style=""font-weight: 400"">Digital Medievalist</span></a><span style=""font-weight: 400""> board since 2014, first as Deputy Director, and as Director since 2015.</span>",linkedin.com/in/acampagnolo,acampagnolo
Aleia Brown,Brown,Aleia,,Program Manager and Mellon/American Council of Learned Society Public Fellow,Humanities ActionLab,,,"Aleia M. Brown is the Program Manager for Humanities Action Lab's next project and recipient of the 2017 Mellon/American Council of Learned Societies Public Fellowship. Prior to this, she was Visiting Curator of African and African American History &amp; Culture at Michigan State University, building on her research focus from her tenure as a curator at the National Afro-American Museum and Cultural Center in Wilberforce, Ohio._x000D__x000D_
_x000D__x000D_
Brown holds a Ph.D. in Public History form Middle Tennessee State University, a M.A. in Public History from Northern Kentucky University, and a B.S. in History from the Honors College at Coppin State University, where she was also a Ronald E. McNair Postbaccalaureate Scholar. Her research and public history practice makes interventions in the following fields: African American history, civil and human rights, women's history, material culture, museum studies, sites of political memory, and digital humanities._x000D__x000D_
_x000D__x000D_
Brown has curated exhibitions and public programs utilizing material culture as an entry point to understanding current issues with deep histories. Her most comprehensive project (as Visiting Curator of African and American History at Michigan State University Museum) is the co-curated travelling exhibition Ubuntutu: Life Legacies of Love and Action that opened at the Nelson Mandela Gateway to Robben Island in October 2016. Her co-edited exhibition catalog by the same name explores textile artists' relationship with the legacy of Desmond Tutu in the wake of key anniversaries pertaining to civil rights legislation and South African apartheid._x000D__x000D_
_x000D__x000D_
Brown is the co-founder and organizer of two acclaimed digital humanities projects. Started in 2014, #MuseumsRespondtoFerguson is both a public forum and curatorial collective. The project pushes museums to gain competencies to utilize exhibitions and collections to address state sanctioned violence. #BlkTwitterstorians is a Twitter chat designed to promote the work of Black historians. The second component involves archiving #BlkTwitterstorians related tweets, enabling researchers to trace shifts in the field wide debates through tweets. Aleia M. Brown's scholarship has appeared, or is forthcoming in, The Black Scholar, CODE | WORDS: Technology and Theory in Museums, TIMELINE Magazine. Her popular writing has appeared in Black Perspectives, History@Work, MuseumNext, Slate, and Southern Rambles.",,CollardStudies
Alex Gil,Gil,Alex,,"Digital Scholarship Coordinator, Humanities and History Division",Columbia University Libraries,,,"Dr. Alex Gil is Digital Scholarship Librarian at Columbia University Libraries and Affiliate Faculty of the Department of English and Comparative Literature at Columbia University. He collaborates with faculty, students and library professionals leveraging computational and network technologies in humanities research, pedagogy and knowledge production. He is among the founders of several ongoing, warmly received initiatives where he currently plays leadership roles: Co-director of the Studio@Butler at Columbia University, a tech-light library innovation space focused on digital scholarship and pedagogy; faculty moderator of Columbia’s Group for Experimental Methods in the Humanities, a vibrant trans-disciplinary research cluster focused on experimental humanities; former chair of Global Outlook::Digital Humanities, an interest group connecting scholars around the world; senior editor of sx archipelagos, a journal of Caribbean Digital Studies, and co-wrangler of The Caribbean Digital conference series. Current projects include Ed, a digital platform for minimal editions of literary texts; Aimé Césaire and The Broken Record, a minimal computing experiment in long-form digital scholarship; and, In The Same Boats, a visualization of trans-Atlantic intersections of black intellectuals in the 20th century.",,elotroalex
Alex Wright,Wright,Alex,,"Author, Designer and Researcher","Etsy, The New York Times, and IBM",,,"Alex Wright is the Director of Research at Etsy and the former Director of User Experience and Product Research at The New York Times. He is also a professor of interaction design at The School of Visual Arts and the author of Cataloging the World: Paul Otlet and the Birth of the Information Age (Oxford University Press, 2014). He has previously led interaction design and research projects for IBM, Yahoo!, The Long Now Foundation and the California Digital Library, among others. His writing has appeared in The New York Times, The Atlantic, Wilson Quarterly, The Believer, and Harvard Magazine, among others.",alexwright.org,alexgrantwright
Alexandrina Agloro,Agloro,Alexandrina,,Assistant Professor of Interactive Media and Game Development,Worcester Polytechnic Institute,,,"Alexandrina is a game designer, community-based researcher, and media artist who believes in the possibilities of the decolonial imaginary using digital media as an emancipatory tool._x000D__x000D_
_x000D__x000D_
She is an Assistant Professor of Interactive Media and Game Development at Worcester Polytechnic Institute. Her most recent game, <em>The Resisters</em>, was an alternate reality game she designed through participatory research with young people of color about local social movement history in Providence, RI. Before joining WPI, she earned her Ph.D. from the Annenberg School for Communication and Journalism at the University of Southern California and an M.A. from the <a href=""ethnicstudies.sfsu.edu/"" target=""_blank"" rel=""noopener"">College of Ethnic Studies</a> at San Francisco State University—the only autonomous institution of its kind in the United States—where she researched adolescent girls of color and their race and gender identity development through online doll play. Alexandrina blends her knowledge of the digital with an aesthetic sense of tactile design; some of her past work includes designing a collection of dresses made entirely from recycled goods as a benefit for a cancer wellness nonprofit._x000D__x000D_
_x000D__x000D_
Alexandrina utilizes principles of self-determination and relevant education in her teaching and research. She teaches at university and high school levels, and specializes in digital media skill building with young people of color. She is a co-chair of Situated Critical Race + Media (SCR+M!) of <a href=""femtechnet.org"" target=""_blank"" rel=""noopener"">FemTechNet</a>, a multi-university collaborative feminist technology organization. She is the Futurist for the Latinx Pacific Archive and is working on developing a line of ovulation-tracking jewelry that is both affordable and flawlessly stylish. As a community-based researcher and participatory designer, her speculative work is still anchored in lived experience. She works closely with<a href=""newurbanarts.org"" target=""_blank"" rel=""noopener""> New Urban Arts</a>, a youth art studio and imagination incubator. Alexandrina uses critical pedagogy and community-based research as platforms to work with institutions, community organizations, researchers, and artists. Her research has received funding from the National Science Foundation, the National Endowment for the Humanities, the Andrew W. Mellon Foundation-John E. Sawyer Seminars, the Teagle Foundation, the Rhode Island Council of the Humanities, and the Voqal Fund.",agloro.org,a_game
Alexis Lothian,Lothian,Alexis,,Assistant Professor of Women’s Studies,University of Maryland College Park,,,"Alexis Lothian is a interdisciplinary scholar of queer and feminist media and cultural studies with a focus on speculative fiction, digital media, and online fandom. She lives in the Washington, DC area and is a tenure track Assistant Professor of <a href=""wmst.umd.edu/"">Women’s Studies </a>at University of Maryland College Park, where she teaches in the <a href=""lgbts.umd.edu/"">LGBT Studies</a> program and the undergraduate honors program in <a href=""dcc.umd.edu/"">Design | Culture and Creativity.</a>_x000D_
_x000D_
Lothian is presently developing a book manuscript based on her PhD dissertation, “Deviant Futures: Speculative Fiction and Queer Time,” while also working on what will become a second monograph on critical and social justice-oriented fan cultures and participating in collaborative work as part of the TransformDH collective. Read more on her <a href=""www.queergeektheory.orgwordpress/dissertatio/"">research page</a>._x000D_
_x000D_
Lothian is also a participant in feminist science fiction and media fandom, with a specific interest in the ways fan communities engage in critical theorizing and activism (for example, through <a href=""journal.transformativeworks.orgindex.php/twc/article/view/172/119"">online discussion</a> and <a href=""lstein.wordpress.com/2010/06/03/participatory-cultures-and-vidding-a-virtual-rendition-of-our-digital-media-and-learning-2010-workshop-2/"">fan video</a>). She uses some of these forms in <a href=""queergeektheory.orgvidding"">her own scholarly work</a>, in addition to standard academic practices.",queergeektheory.org,alothian
Alison Booth,Booth,Alison,,Professor of English,University of Virginia,,,"Alison Booth is Professor of English at University of Virginia, specializing in narrative, feminist studies in nineteenth-century literature, and digital humanities.  Her books include <em>Greatness Engendered: George Eliot and Virginia Woolf</em> (1992); <em>How to Make It as a Woman: Collective Biographical History from Victoria to the Present</em>; a Longman Cultural Edition of Wuthering Heights, and an edited collection on gender and narrative closure, <em>Famous Last Words</em>.  She is completing a book on transatlantic literary tourism, house museums, and reception of authors.  A Fellow of ACLS (Digital Innovation) and the Institute for Advanced Technology in the Humanities, she directs the Collective Biographies of Women project.",engl.virginia.edu/people/ab6j,alison_booth
